Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
501851,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
502109,000001A0,false,Rx,1,8,00,80,00,00,80,00,A8,4B,
502752,00000200,false,Rx,0,8,42,81,FC,00,00,00,00,00,
503297,000000AA,false,Rx,0,8,32,D5,01,00,20,0C,84,00,
509330,000000A8,false,Rx,0,8,75,E6,01,E0,01,F1,0F,02,
511280,000000A9,false,Rx,0,8,77,16,D7,CF,3D,D7,EF,0B,
511308,000000B6,false,Rx,1,5,0A,0A,80,00,C8,00,00,00,
511771,0000019E,false,Rx,1,8,00,E8,AF,FC,FF,BC,FF,F1,
511959,00000374,false,Rx,1,5,80,80,80,80,FC,00,00,00,
513293,000000AA,false,Rx,0,8,33,D6,01,00,20,0C,84,00,
519325,000000A8,false,Rx,0,8,76,E7,01,E0,01,F1,0F,02,
519845,00000130,false,Rx,1,5,45,41,61,8F,97,00,00,00,
521276,000000A9,false,Rx,0,8,78,17,D7,CF,3D,D7,EF,0B,
521390,000001A0,false,Rx,1,8,00,80,00,00,80,00,B8,5B,
521866,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
523297,000000AA,false,Rx,0,8,38,E7,01,00,14,0C,84,00,
529320,000000A8,false,Rx,0,8,A7,F8,01,00,02,F1,0F,02,
531270,000000A9,false,Rx,0,8,79,18,D7,CF,3D,D7,EF,0B,
531299,000000B6,false,Rx,1,5,0B,0B,80,00,C8,00,00,00,
531752,0000019E,false,Rx,1,8,00,E8,AF,FC,FF,BC,FF,F1,
533294,000000AA,false,Rx,0,8,39,E8,01,00,14,0C,84,00,
539325,000000A8,false,Rx,0,8,B8,09,02,00,02,F1,0F,02,
541258,000000A9,false,Rx,0,8,7A,19,D7,CF,3D,D7,EF,0B,
541343,000001A0,false,Rx,1,8,00,80,00,00,80,00,C8,6B,
541827,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
543279,000000AA,false,Rx,0,8,66,09,02,00,20,0C,84,00,
549319,000000A8,false,Rx,0,8,89,EA,01,F0,01,F1,0F,02,
551252,000000A9,false,Rx,0,8,7B,1A,D7,CF,3D,D7,EF,0B,
551287,000000B6,false,Rx,1,5,0C,0C,80,00,C8,00,00,00,
